year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2006,Pontiac,Grand Prix,GXP,Sedan,automatic,2g2wc58c061163410,nj,1.9,125350.0,black,black,national credit union administration/asset mgmt,5475,2000,2015-04-08 02:30:00
2014,BMW,3 Series,ActiveHybrid 3,Sedan,automatic,wba3f9c57ef484578,ca,4.1,32606.0,white,black,bmw north america/lemon law buy backs,36300,26500,2015-04-01 05:30:00
2014,Chevrolet,Cruze,1LT,Sedan,,1g1pc5sb0e7380854,pa,4.0,18606.0,white,black,gm remarketing,13050,12300,2015-04-03 02:00:00
2006,Ford,F-150,XLT,SuperCab,automatic,1ftpx12556na87513,oh,1.0,1.0,green,tan,sullivan auto group llc,3700,200,2015-04-16 02:00:00
2013,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mm8dc612398,nv,2.7,54672.0,gray,black,the hertz corporation,19650,17750,2015-04-17 05:10:00
2006,Mercedes-Benz,C-Class,C280 Luxury 4MATIC,Sedan,automatic,wdbrf92h76f768026,nc,2.0,1.0,purple,tan,dt credit corporation,6550,1400,2015-04-14 01:30:00
2014,BMW,3 Series Gran Turismo,328i xDrive,Hatchback,automatic,wba3x5c57ed559054,nj,4.7,1013.0,—,black,bmw na manheim new jersey,28200,26500,2015-04-07 07:00:00
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dc120092,ca,4.5,4269.0,gray,beige,nissan north america inc.,11600,12750,2015-04-07 05:30:00
2013,Nissan,Leaf,S,Hatchback,automatic,1n4az0cp2dc401630,wa,4.0,21287.0,red,black,nissan-infiniti lt,10050,10200,2015-04-15 06:00:00
2001,Ford,Ranger,XLT,SuperCab,automatic,1ftzr15e81ta45128,md,2.0,185625.0,green,tan,darcars sales and leasing,2700,1700,2015-04-14 02:30:00
2011,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap8bl608032,tx,2.9,47786.0,red,gray,national auto lenders,9050,5900,2015-04-15 05:30:00
2014,Kia,Forte,LX,Sedan,automatic,knafx4a63e5223981,tx,2.5,16337.0,white,—,"kia motors america, inc",12450,11400,2015-04-22 03:30:00
2004,Dodge,Ram Pickup 1500,SLT,Regular Cab,automatic,1d7hu16d54j243770,tx,2.8,142425.0,white,black,lithia toyota of abilene,5500,5000,2015-04-01 03:20:00
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae7du745544,fl,3.9,22519.0,gray,gray,hyundai motor finance,12150,11600,2015-04-21 02:30:00
2009,Toyota,Highlander,Limited,SUV,automatic,jtees42a992136881,nj,3.2,1.0,gray,gray,ge fleet services for itself/servicer,8725,2000,2015-04-15 02:30:00
2012,Chevrolet,Traverse,LT,SUV,automatic,1gnkvjed8cj144946,nj,2.7,49777.0,silver,black,the hertz corporation,21100,16800,2015-04-29 02:30:00
2015,Chevrolet,Impala,LT,Sedan,automatic,2g1125s31f9101574,il,4.0,12585.0,white,gray,gm remarketing,21900,13200,2015-04-02 04:00:00
2005,Subaru,Impreza,Outback Sport Special Edition,Wagon,automatic,jf1gg68595h805796,sc,3.1,68471.0,blue,gray,enterprise car sales,6000,4100,2015-04-16 02:30:00
2014,Jeep,Grand Cherokee,Summit,SUV,,1c4rjfjt7ec451481,on,4.4,20062.0,black,brown,fca canada inc,48800,36700,2015-04-07 05:00:00
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a3xdc033420,tx,2.9,60905.0,red,black,the hertz corporation,11400,16200,2015-04-08 03:05:00
2014,Ford,F-150,STX,Regular Cab,automatic,1ftnf1cf1ekd47374,ca,4.9,10010.0,white,gray,u-haul fleet sales,17400,3800,2015-04-08 05:30:00
2010,Hyundai,Elantra,Blue,Sedan,manual,kmhdu4ad0au830966,co,2.4,82657.0,blue,gray,larry h. miller fleet lease,6800,5500,2015-04-22 04:45:00
2008,Mazda,CX-7,Grand Touring,SUV,automatic,jm3er293380172661,pa,1.9,89940.0,purple,beige,classic cadillac saab,7675,6000,2015-04-01 02:30:00
2002,Ford,Expedition,XLT,SUV,,1fmru15wx2la89183,oh,1.9,151984.0,blue,gray,car now acceptance co/columbus,1925,1100,2015-04-02 02:00:00
2012,Chevrolet,Captiva Sport,2LS Fleet,SUV,automatic,3gnal2ek2cs595780,mn,3.0,56155.0,blue,gray,hertz/tra,10250,9700,2015-04-14 07:00:00
2003,Mitsubishi,Galant,ES,Sedan,automatic,4a3aa46gx3e037588,nv,2.0,1.0,silver,—,titlemax/las vegas nv29,1500,400,2015-04-02 04:00:00
2012,Nissan,Rogue,S,SUV,,jn8as5mv5cw707313,pa,4.5,32878.0,gray,black,nissan-infiniti lt,15300,16100,2015-04-03 02:00:00
2012,Nissan,Rogue,S,SUV,,jn8as5mv3cw366137,pa,4.6,39142.0,gray,black,nissan-infiniti lt,14650,13800,2015-04-10 02:00:00
2004,BMW,7 Series,745i,Sedan,,wbagl63534dp73928,fl,1.0,1.0,black,—,nextgear capital,17050,1400,2015-04-29 08:00:00
2003,Chrysler,Sebring,LXi,Coupe,automatic,4c3ag52h23e075325,pa,2.5,89646.0,red,beige,credit acceptance corp/vrs/southfield,1550,500,2015-04-28 02:30:00
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e34e1118531,il,3.0,20946.0,silver,gray,gm remarketing,13000,12900,2015-04-30 04:00:00
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e39e1119674,il,2.0,20582.0,black,gray,gm remarketing,14000,14100,2015-04-30 04:00:00
2012,Nissan,Altima,2.5,sedan,,1n4al2ap3cc120015,pa,4.6,33882.0,black,black,mehdis car company,10250,17800,2015-04-09 02:00:00
2004,Audi,A6,4.2 quattro,Sedan,automatic,wauml64b44n020006,nj,1.9,83109.0,blue,beige,credit acceptance corp/vrs/southfield,4575,2100,2015-04-14 02:30:00
2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca0e1908575,mo,4.3,15616.0,white,gray,u-haul technical center,20400,18500,2015-04-07 04:00:00
2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kbxca639665,nv,3.9,28599.0,—,black,mercedes-benz financial services,28600,26000,2015-04-17 04:00:00
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap0en205858,tx,3.6,13406.0,—,black,nissan motor acceptance corporation,15300,13600,2015-04-21 02:15:00
2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d25n464099,ca,2.5,153639.0,blue,gray,bmw of murrieta,2350,1750,2015-04-21 05:30:00
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcgxer477318,il,4.0,20259.0,white,black,enterprise holdings/gdp,17250,31500,2015-04-09 04:00:00
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f89egb64458,fl,4.0,37162.0,—,black,ars/avis budget group,26300,17700,2015-04-01 03:00:00
2011,Chevrolet,HHR,LS,Wagon,automatic,3gnbaafw0bs644477,ca,3.5,103713.0,silver,black,redline remarketing,5700,4300,2015-04-08 05:30:00
2009,Dodge,Journey,SXT,SUV,automatic,3d4gh57v69t602782,ut,3.3,159703.0,black,beige,covington capital corporation,3625,4800,2015-04-08 04:30:00
2008,Pontiac,Torrent,Base,SUV,automatic,2ckdl33f386333668,az,2.8,103868.0,silver,black,repo remarketing/vantage west credit union,5775,4100,2015-04-02 05:00:00
2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca9e1909806,fl,4.3,13584.0,white,gray,u-haul,20400,18500,2015-04-17 02:15:00
2008,Subaru,Legacy,2.5 I Limited,Sedan,automatic,4s3bl626987216405,pa,3.8,95495.0,brown,beige,honda north,7300,7500,2015-04-01 05:00:00
2006,Volvo,S40,2.4i,Sedan,automatic,yv1ms382562172115,hi,1.8,85059.0,blue,beige,coastal credit llc/orange park/orange park,4300,300,2015-04-01 08:35:00
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c51cc809894,ca,4.6,17751.0,black,black,financial services remarketing (lease),34200,22000,2015-04-23 05:30:00
2007,,,,,automatic,3gnda13d77s537705,va,1.9,106219.0,purple,gray,r k chevrolet inc,3250,2000,2015-04-02 02:35:00
2013,Lexus,RX 350,Base,SUV,,2t2bk1ba6dc160048,pa,2.9,61065.0,red,beige,pohanka lexus,28000,27750,2015-04-03 02:00:00
2005,Dodge,Ram Pickup 2500,SLT,Quad Cab,automatic,3d7ks28c35g798385,ms,2.4,188599.0,white,black,don's wholesale llc,12750,7100,2015-04-30 03:15:00
2014,Ford,Explorer,XLT,SUV,automatic,1fm5k8d81egc50789,ga,3.9,33612.0,red,black,avis budget group,28100,23100,2015-04-07 02:30:00
2003,Lincoln,LS,Sport,Sedan,automatic,1lnhm87a83y679246,pa,1.9,146384.0,black,gray,credit acceptance corp/vrs/southfield,1475,450,2015-04-14 02:30:00
2014,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj6em174840,tx,3.1,35681.0,—,gray,ars/avis budget group,10250,24000,2015-04-02 04:45:00
2012,Chevrolet,Traverse,LS,SUV,,1gnkrfedxcj313835,tx,4.6,40521.0,—,gray,lease plan usa,16700,14000,2015-04-21 03:00:00
2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h56cb039643,nj,2.1,37389.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",24400,10300,2015-04-08 02:30:00
2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap3cl737152,il,3.6,30032.0,black,gray,nissan-infiniti lt,11200,9500,2015-04-02 03:00:00
2005,Chevrolet,Malibu,LT,Sedan,,1g1zu54815f105216,mo,1.9,129097.0,red,tan,first community credit union,2850,500,2015-04-07 04:00:00
2001,Mitsubishi,Montero Sport,LS,SUV,automatic,ja4ls21hx1p014918,nv,2.0,1.0,black,—,tiger financial management llc,4125,450,2015-04-15 17:00:00
2015,Kia,Sorento,LX,SUV,,5xykt3a61fg567325,ga,5.0,25204.0,gray,black,"kia motors america, inc",18350,19300,2015-04-02 03:00:00
2015,Kia,Sorento,LX,SUV,,5xykt3a66fg588803,ga,5.0,12743.0,black,black,"kia motors america, inc",19550,21900,2015-04-02 03:00:00
2013,Ford,Fusion,SE,sedan,automatic,3fa6p0hr1dr305978,ca,3.8,23255.0,silver,black,ge fleet services for itself/servicer,15750,16100,2015-04-07 05:00:00
2005,Buick,LaCrosse,CX,Sedan,automatic,2g4wc532151266890,az,2.2,1.0,silver,gray,"jpmorgan chase bank,n.a.",7625,500,2015-04-02 05:00:00
2005,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k65w552961,ca,1.9,111760.0,gray,gray,veros credit,4325,3700,2015-04-29 05:30:00
2014,Subaru,Forester,2.5i Premium PZEV,SUV,automatic,jf2sjaecxeh548208,il,4.6,12324.0,gray,gray,subaru of america,22300,23900,2015-04-07 04:00:00
2013,Ford,Escape,Titanium,SUV,automatic,1fmcu0j9xdud41818,mo,3.5,50360.0,silver,black,sutton ford/ge,19050,18700,2015-04-01 03:30:00
2012,Nissan,Maxima,3.5 SV,Sedan,,1n4aa5ap8cc828249,pa,3.1,31514.0,silver,black,nissan-infiniti lt,18300,11400,2015-04-03 02:00:00
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl9cg195868,ca,2.7,108269.0,silver,beige,barco rent a truck,25500,26200,2015-04-21 05:30:00
2014,Chevrolet,Spark,1LT,Hatchback,automatic,kl8cd6s90ec449435,tx,4.1,13510.0,red,gray,gm financial,10500,30000,2015-04-02 03:30:00
2001,BMW,3 Series,325i,Sedan,automatic,wbaav334x1fu75737,ca,1.9,144140.0,gold,beige,westlake financial services,2050,400,2015-04-23 05:00:00
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,,wddgf8ab2dr272701,pa,2.8,10730.0,gray,black,mercedes-benz financial services,26400,19200,2015-04-03 01:29:00
2004,GMC,Sierra 1500,SLE,Extended Cab,automatic,2gtek19t641119460,nj,2.6,116342.0,gray,gray,lester glenn buick,8050,7300,2015-04-08 02:30:00
2014,Chrysler,Town and Country,Touring,Minivan,,2c4rc1bg1er325767,pa,4.0,29950.0,burgundy,tan,pv holding inc/gdp,18600,17500,2015-04-16 02:30:00
2010,Honda,Accord,EX-L V-6,Sedan,automatic,5kbcp3f86ab011841,pa,2.8,144944.0,burgundy,tan,1 cochran of monroeville,9250,8600,2015-04-29 05:00:00
2009,MINI,Cooper,S,Hatchback,manual,wmwmf73509tt96553,ca,2.6,109800.0,gray,black,redline remarketing,6850,5700,2015-04-08 05:30:00
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s37f9108629,il,4.0,15331.0,black,black,gm remarketing,25500,23600,2015-04-16 04:00:00
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn483124,fl,4.8,21036.0,burgundy,black,nissan-infiniti lt,13350,13000,2015-04-07 02:30:00
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn505834,fl,4.4,34642.0,gray,black,nissan-infiniti lt,12650,17600,2015-04-01 02:00:00
2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap4cl748676,fl,4.8,31856.0,black,gray,nissan-infiniti lt,11200,12600,2015-04-01 02:00:00
2005,Pontiac,Montana,SV6,Minivan,automatic,1gmdx33l25d265888,ny,1.9,160600.0,gray,tan,new city funding,1450,900,2015-04-16 02:15:00
2014,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej8em107510,tx,3.9,38811.0,silver,black,enterprise vehicle exchange/dfw airport,10150,10300,2015-04-01 03:15:00
2006,Nissan,Pathfinder,SE,SUV,automatic,5n1ar18w86c615584,pa,2.4,158296.0,blue,black,1 cochran of monroeville,5125,5200,2015-04-01 05:00:00
1998,,,,,manual,1j4fy19s9wp706939,fl,1.9,1.0,red,—,courtesy toyota of brandon,1475,3100,2015-04-02 08:30:00
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl7eda08195,fl,4.2,32583.0,—,gray,avis budget group,19350,19100,2015-04-01 03:00:00
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f22el296674,fl,5.0,17362.0,white,gray,avis budget group,12750,10200,2015-04-01 03:00:00
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k90er279433,fl,4.7,34320.0,—,black,avis budget group,18900,18300,2015-04-01 03:00:00
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk5er828925,fl,4.0,35193.0,—,black,avis budget group,23200,24200,2015-04-16 02:00:00
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c50cdx05647,ca,4.4,23608.0,gray,black,financial services remarketing (lease),29000,27000,2015-04-01 05:30:00
2012,BMW,Z4,sDrive35i,Convertible,automatic,wbalm7c59ce384687,ca,3.8,27843.0,gray,black,financial services remarketing (lease),35000,47300,2015-04-01 05:30:00
2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab1en196065,ca,2.0,38675.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,11250,7800,2015-04-29 08:05:00
2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx6dua03763,wa,4.1,26553.0,black,gray,ford motor credit company,18600,36000,2015-04-01 05:00:00
2007,Toyota,Avalon,Touring,Sedan,,4t1bk36b47u192633,nj,2.3,186691.0,gray,black,kns auto llc,4950,4000,2015-04-15 02:30:00
2013,BMW,6 Series,650i,Coupe,automatic,wbaym9c56ddw20222,ca,3.5,43653.0,black,black,bmw north america/lemon law buy backs,47300,37000,2015-04-01 05:30:00
2012,Chevrolet,Equinox,LS,SUV,,2gnalbek1c6324420,pa,4.2,32192.0,black,black,gm financial leasing,14900,19500,2015-04-03 02:00:00
2008,Dodge,Charger,RT,Sedan,automatic,2b3ka53h58h281449,nc,2.1,141744.0,black,black,north state acceptance,8100,6400,2015-04-06 02:30:00
2001,Ford,Expedition,XLT,SUV,automatic,1fmru15w81la36139,fl,1.9,1.0,gray,tan,courtesy toyota of brandon,3075,3000,2015-04-02 09:20:00
2014,Ford,Expedition,EL King Ranch,SUV,automatic,1fmjk1j53eef49633,ga,4.8,33631.0,red,beige,avis budget group,32800,10600,2015-04-06 03:00:00
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c54cc575655,ca,2.4,45240.0,gray,black,financial services remarketing (lease),34400,28000,2015-04-15 05:30:00
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn439474,nj,1.9,49670.0,black,gray,wheels exchange llc,11650,12700,2015-04-08 02:30:00
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk1cr213821,oh,3.5,34688.0,black,beige,toyota financial services,13700,18200,2015-04-07 02:30:00
2010,Ford,Escape,Limited,SUV,automatic,1fmcu9eg2akc15554,oh,2.9,90492.0,gray,tan,"ford motor credit company,llc pd",10750,6700,2015-04-21 02:00:00
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl0eda77827,il,3.9,32085.0,white,gray,avis budget group,19600,18700,2015-04-07 04:00:00
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2e5264374,fl,3.9,29408.0,black,beige,sam galloway ford lincoln,18650,28500,2015-04-23 02:00:00
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0gs9f72e1141779,il,4.3,33258.0,red,gray,ford motor credit company,19150,19000,2015-04-09 03:00:00
2008,Cadillac,STS,V6,Sedan,automatic,1g6dw67v480128664,mi,1.9,82262.0,silver,gray,luxury auto group,9825,5350,2015-04-02 02:30:00
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap0cc168720,nj,4.1,21287.0,white,black,nissan-infiniti lt,13500,14900,2015-04-01 02:30:00
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv1cw380375,nj,4.1,32976.0,gray,black,nissan-infiniti lt,18550,12500,2015-04-01 02:30:00
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv1cw701170,nj,2.7,28391.0,black,black,nissan-infiniti lt,15650,7100,2015-04-01 02:30:00
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv2cw704756,nj,3.5,32914.0,black,black,nissan-infiniti lt,16300,14000,2015-04-01 02:30:00
2010,Hyundai,Elantra Touring,SE,Hatchback,automatic,kmhdc8ae6au058007,tx,1.9,66552.0,blue,black,hyundai motor finance,8000,2300,2015-04-29 03:30:00
2008,Nissan,Titan,SE,Crew Cab,automatic,1n6ba07dx8n338886,mo,3.4,73983.0,silver,gray,bank of the west,12050,10800,2015-04-01 03:30:00
2006,Honda,Accord,EX,Sedan,automatic,1hgcm56886a097397,nj,2.8,124037.0,white,gray,lester glenn buick,6200,5800,2015-04-08 02:30:00
2004,BMW,X5,3.0i,SUV,automatic,5uxfa13514lu28344,nj,2.7,102540.0,blue,brown,"jpmorgan chase bank,n.a.",6225,5200,2015-04-01 02:30:00
2003,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18d23s325230,tx,2.8,169706.0,blue,beige,texas direct auto,4150,2100,2015-04-21 02:15:00
2001,Mercury,Grand Marquis,GS,Sedan,automatic,2mefm74w51x618695,nj,1.9,164085.0,green,beige,lester glenn buick,825,800,2015-04-01 02:30:00
2000,,,,,,1fmdu83p3yza70432,nj,2.7,162476.0,beige,beige,lester glenn buick,1125,500,2015-04-08 02:30:00
1999,Toyota,Avalon,XLS,Sedan,,4t1bf18b4xu350989,nj,2.9,142857.0,green,gray,lester glenn buick,1800,1450,2015-04-01 02:30:00
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h97er320101,tn,4.4,34650.0,,,avis budget group,16300,32300,2015-04-01 03:30:00
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k91er302024,tn,4.3,33649.0,—,black,avis budget group,19000,10600,2015-04-02 04:00:00
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek9eg608716,tn,4.3,33317.0,—,beige,avis budget group,25100,21700,2015-04-02 04:00:00
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k7d85dgc14418,tn,4.6,18338.0,gray,gray,"ford motor credit company,llc",28200,11500,2015-04-02 04:00:00
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxdm758749,nj,3.6,20448.0,white,tan,nissan infiniti lt,21900,21600,2015-04-01 02:30:00
2013,Infiniti,G Sedan,G37x,G Sedan,,jn1cv6ar2dm753321,nj,4.5,18465.0,black,black,nissan infiniti lt,22100,21400,2015-04-01 02:30:00
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a64fg594485,fl,4.9,10557.0,red,black,"kia motors america, inc",19400,20800,2015-04-15 03:00:00
2015,Kia,Sorento,LX,SUV,automatic,5xykt3a60fg554615,fl,4.3,12090.0,black,black,"kia motors america, inc",19300,16000,2015-04-15 03:00:00
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3j92cba94780,fl,4.6,44589.0,—,black,"ford motor credit company,llc pd",20100,25100,2015-04-01 03:00:00
2012,Hyundai,Sonata,GLS,Sedan,,5npeb4acxch502778,nj,3.7,35693.0,black,gray,hyundai motor finance,12250,11200,2015-04-01 02:30:00
2012,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdkk3dc0cs208650,fl,3.6,56389.0,black,gray,world omni financial corporation,17600,17700,2015-04-07 02:30:00
2008,Lincoln,Navigator,Base,SUV,automatic,5lmfu28548lj21837,md,2.1,80939.0,black,gray,darcars chrysler jeep,16800,11000,2015-04-14 02:30:00
2007,Nissan,Xterra,S,SUV,,5n1an08w57c522299,pa,2.9,101498.0,silver,black,ford lincoln of queens preowned,7975,3600,2015-04-10 02:00:00
1999,BMW,3 Series,328i,Convertible,automatic,wbabk8333xey92228,nv,2.0,154351.0,white,—,automotive remarketing inc,1000,400,2015-04-16 04:00:00
1998,BMW,3 Series,323is,Coupe,automatic,wbabf8328weh62085,va,1.0,155648.0,silver,gray,select remarketing group llc/anderson financial,1650,400,2015-04-01 02:05:00
2014,Ford,Edge,Limited,SUV,automatic,2fmdk3kc3eba54818,mo,4.2,31402.0,orange,black,ars/avis budget group,23700,11300,2015-04-14 04:00:00
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j94eua96505,nj,4.4,20074.0,red,black,"ford motor credit company,llc",24600,750,2015-04-08 02:00:00
2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h77e5405070,fl,4.3,27699.0,white,black,budget rac of atlanta,15100,11400,2015-04-02 02:00:00
2013,Hyundai,Elantra,Limited,Sedan,,kmhdh4ae3du696147,nj,3.1,14906.0,blue,gray,hyundai motor finance,15200,14100,2015-04-15 02:30:00
2012,Nissan,Armada,Platinum,SUV,automatic,5n1aa0ne5cn612932,il,3.9,26988.0,black,black,nissan-infiniti lt,34000,17000,2015-04-02 03:00:00
2012,Nissan,Pathfinder,S,SUV,automatic,5n1ar1nb5cc602899,il,2.5,30567.0,black,gray,nissan-infiniti lt,19900,17200,2015-04-16 03:00:00
2012,Nissan,Murano,SV,SUV,automatic,jn8az1mw9cw214215,il,2.9,37236.0,gray,beige,nissan-infiniti lt,19050,15600,2015-04-02 03:00:00
2012,Nissan,Sentra,2.0 SL,Sedan,automatic,3n1ab6ap5cl709174,il,2.9,33511.0,red,gray,nissan-infiniti lt,12400,13000,2015-04-02 03:00:00
2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap2cl640878,il,4.8,30310.0,blue,gray,nissan-infiniti lt,11200,13200,2015-04-02 03:00:00
2009,Jeep,Wrangler,Unlimited X,SUV,automatic,1j4ga391x9l739343,ny,3.9,123000.0,black,black,teg federal credit union,15400,14500,2015-04-01 02:40:00
2002,Dodge,Dakota,SLT,Club Cab,manual,1b7gl42x72s541674,ma,2.7,132144.0,blue,gray,nissan 24,2050,750,2015-04-02 11:30:00
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h91er243855,ma,4.3,32210.0,gray,black,lease plan usa,16500,12000,2015-04-07 02:30:00
2013,Nissan,Sentra,FE+ S,Sedan,,3n1ab7ap0dl735088,il,2.6,20926.0,black,black,nissan-infiniti lt,12300,10800,2015-04-02 03:00:00
2011,Jeep,Compass,Limited,SUV,,1j4nf5fb6bd255686,pa,4.9,31009.0,silver,black,"jpmorgan chase bank,n.a.",15550,27200,2015-04-03 02:00:00
