year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2011,Honda,Pilot,Touring,SUV,automatic,5fnyf3h97bb015606,ca,2.8,62426.0,black,black,mercedes benz of laguna niguel,16700,21700,2015-07-01 09:15:00
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1bm356664,mo,3.8,24142.0,silver,black,nissan infiniti lt,18000,20800,2015-07-07 08:00:00
2004,,,,,automatic,2c8gm68424r647331,nc,1.9,174692.0,silver,beige,ace motor acceptance corporation,1425,1600,2015-07-06 07:00:00
2002,Dodge,Stratus,R/T,Coupe,automatic,4b3ag52h12e033448,nc,1.9,119175.0,red,gray,ace motor acceptance corporation,1150,1300,2015-07-06 07:00:00
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbss3bl9eda11272,pa,4.1,17190.0,silver,gray,ford motor credit company,18900,24200,2015-07-01 06:00:00
2012,Mitsubishi,Lancer Sportback,ES,Hatchback,automatic,ja32x2hu3cu006975,pa,4.1,44750.0,silver,black,"mmca, inc",9425,9000,2015-07-03 06:00:00
2011,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba6bc061676,fl,4.3,43428.0,gray,gray,ambar motors inc,23400,26000,2015-07-07 06:30:00
2011,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,,4jgbb8gb9ba668929,pa,2.3,23984.0,silver,gray,mercedes-benz financial services,18750,26000,2015-07-03 17:15:00
2015,Chevrolet,Malibu,LTZ,Sedan,automatic,1g11f5sl2ff112398,fl,4.4,16054.0,gray,black,enterprise veh exchange/rental,18350,18800,2015-07-07 06:30:00
2007,lincoln,town,car sig ltd,,automatic,1lnhm82v77y618566,fl,3.4,97816.0,white,beige,mid florida fcu,5600,2000,2015-07-08 06:40:00
2005,Chrysler,300,Base,Sedan,automatic,2c3ja43r05h139264,mi,2.0,1.0,blue,gray,mills capitol auto sales inc,5000,4300,2015-07-02 06:30:00
2004,BMW,7 Series,745i,Sedan,automatic,wbagl63504dp73644,ca,1.9,1.0,green,green,performance auto loans,5125,3100,2015-07-01 08:00:00
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f86egb90571,pa,3.6,27061.0,red,gray,ars/enterprise,14750,31000,2015-07-01 06:30:00
2013,Subaru,Legacy,2.5i Limited PZEV,Sedan,automatic,4s3bmbk60d3033482,tx,4.5,40102.0,red,gray,bmw of el paso,16950,17600,2015-07-02 09:00:00
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c59cdw24498,ca,3.8,40352.0,black,—,financial services remarketing (lease),25400,28000,2015-07-07 09:30:00
2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh4c5m12799,nv,2.7,39250.0,blue,—,enterprise veh exchange/rental,9825,11600,2015-07-03 08:55:00
2011,Ford,F-150,Platinum,SuperCrew,automatic,1ftfw1ef5bfc82549,ga,3.2,61557.0,gray,—,"ford motor credit company,llc pd",27500,28700,2015-07-01 07:00:00
2010,Toyota,Highlander,Limited,SUV,automatic,5tdyk3ehxas001393,ca,2.5,109506.0,gray,gray,arrowhead auto group inc,15350,16750,2015-07-01 09:30:00
2006,Toyota,Camry,LE,Sedan,manual,jtdbe32k463064138,tx,2.4,77922.0,black,gray,rii,6225,5500,2015-07-08 06:30:00
2004,Mercedes-Benz,SL-Class,SL500,Convertible,automatic,wdbsk75f84f079167,ga,3.3,106022.0,gray,gray,tdaf remarketing,13150,10100,2015-07-02 07:00:00
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc1dbb37857,ca,2.3,20785.0,red,black,"ford motor credit company,llc pd",18250,23200,2015-07-02 09:30:00
2013,Ford,Focus,Titanium,Hatchback,automatic,1fadp3n20dl222492,ca,4.6,20889.0,gray,black,"ford motor credit company,llc pd",14500,15900,2015-07-02 09:30:00
2012,Ford,Fiesta,SES,Hatchback,automatic,3fadp4fj1cm110471,pa,4.1,38984.0,gray,black,"ford motor credit company,llc",8800,8900,2015-07-07 08:00:00
2012,Ford,Taurus,SEL,Sedan,automatic,1fahp2ew2cg125459,ca,3.4,40777.0,silver,black,fiesta ford lincoln mercury,10600,11600,2015-07-02 09:00:00
2011,Jaguar,XJ,XJL Supercharged,Sedan,automatic,sajwa2ge1bmv07314,nj,1.0,75600.0,blue,tan,wells fargo dealer services-tra,31000,12500,2015-07-08 06:30:00
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a76eg346131,nj,3.0,16110.0,red,beige,"kia motors america, inc",14400,14600,2015-07-02 17:15:00
2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbg6dn527726,il,2.8,66821.0,black,black,chrysler capital,8925,9700,2015-07-07 07:00:00
2003,BMW,3 Series,330xi,Sedan,automatic,wbaew53413pg21677,fl,2.0,128778.0,blue,gray,remarketing by ge/space coast credit union,3275,1800,2015-07-03 06:35:00
2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae7cu441354,tx,2.9,1.0,red,tan,td auto finance,23400,5800,2015-07-01 07:15:00
2012,mitsubishi,galant,fe,,automatic,4a32b2ffxce016964,ca,2.9,64809.0,black,black,dtg operations inc,7275,8100,2015-07-01 09:30:00
2011,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef9bfc48131,mi,3.9,48057.0,black,black,"ford motor credit company,llc",26900,27100,2015-07-01 07:00:00
2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sl1ef201977,mo,4.3,28747.0,silver,gray,enterprise veh exchange/rental,14550,15000,2015-07-08 07:00:00
2011,Toyota,Camry,SE,Sedan,automatic,4t1bf3ek4bu609246,nc,2.1,60138.0,red,gray,fleet lease remarketing,10900,12600,2015-07-06 06:30:00
2010,Ford,Edge,SEL,SUV,automatic,2fmdk3jc6aba58888,mi,3.0,119534.0,black,black,remarketing by ge/michigan schools & govt cu,9500,8500,2015-07-02 06:30:00
2008,Buick,Enclave,CXL,SUV,automatic,5gaev23738j144709,va,1.9,61047.0,gray,gray,"suntrust bank,public",15450,13300,2015-07-02 06:20:00
2007,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng71x87a023476,nj,1.9,123033.0,silver,black,wells fargo dealer services,14850,15300,2015-07-02 06:05:00
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl5eda47822,mo,3.5,33548.0,white,gray,avis budget group,20200,18000,2015-07-01 07:30:00
2014,Ford,Fiesta,S,Sedan,,3fadp4ajxem159386,nc,4.3,14889.0,silver,black,medlin buick gmc mazda,8150,10100,2015-07-02 07:00:00
2014,Jeep,Compass,Limited,SUV,automatic,1c4njccb6ed845081,mo,4.8,28618.0,black,black,budget rent a car/wichita,17100,17200,2015-07-08 07:30:00
2014,Nissan,Xterra,X,SUV,automatic,5n1an0nw1en807118,mo,5.0,28703.0,silver,gray,enterprise veh exchange/rental,18850,20100,2015-07-08 07:00:00
2013,Ford,Escape,SE,SUV,automatic,1fmcu9g90dua14453,tn,3.4,67525.0,—,gray,dtg operations inc,12450,14300,2015-07-08 07:00:00
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k7d88dgb76683,tn,3.1,21455.0,—,black,"ford motor credit company,llc",26200,24800,2015-07-07 06:30:00
2013,Mitsubishi,Outlander Sport,LE,SUV,automatic,4a4ar5au9de024422,mo,3.0,33440.0,silver,black,avis corporation,14750,16200,2015-07-01 07:30:00
2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap1dl657324,tx,2.0,28277.0,black,black,nissan motor acceptance corporation,10650,4900,2015-07-07 07:30:00
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c55cc808179,nv,4.0,67592.0,gray,black,financial services remarketing - pickup,24700,27250,2015-07-09 07:30:00
2012,Kia,Optima,LX,Sedan,,5xxgm4a76cg051950,pa,2.7,12350.0,beige,beige,kia motors finance,13050,12500,2015-07-03 06:00:00
2012,Mazda,Mazda2,Sport,Hatchback,manual,jm1de1ky3c0136476,pr,3.6,59726.0,gray,black,oriental bank,7400,6400,2015-07-02 09:00:00
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s3xe9137472,wa,4.6,21387.0,white,black,robert larson's hyundai,20300,19500,2015-07-01 09:30:00
2011,Honda,Pilot,LX,SUV,automatic,5fnyf3h2xbb003968,va,2.9,48008.0,gray,black,blue knob auto sales inc,24800,15300,2015-07-02 17:15:00
2008,Buick,Lucerne,CXS,Sedan,automatic,1g4he57y98u151853,oh,2.9,92306.0,purple,gray,dt inventory,5975,6300,2015-07-09 07:30:00
2004,HUMMER,H2,Base,SUV,automatic,5grgn23u34h109147,tx,2.4,123298.0,white,gray,hopper motorplex inc,14000,13200,2015-07-07 07:30:00
2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap4ek453656,ca,1.9,9449.0,blue,black,"jpmorgan chase bank,n.a.",10500,11000,2015-07-02 09:00:00
2014,BMW,X6,xDrive35i,SUV,automatic,5uxfg2c57e0c44925,ca,4.4,52031.0,black,black,high bid trading co inc,39200,42500,2015-07-02 09:00:00
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h78dr140820,mi,4.9,13573.0,red,black,"ford motor credit company,llc",19100,14200,2015-07-02 06:00:00
2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg6c2478882,nj,4.0,10642.0,gray,black,lexus financial services,22600,23600,2015-07-08 06:30:00
2014,Chevrolet,Camaro,SS,Convertible,manual,2g1ft3dw5e9299671,il,4.0,8012.0,red,black,gm remarketing,32300,41000,2015-07-01 07:00:00
2011,Nissan,Sentra,2.0 SL,Sedan,automatic,3n1ab6ap1bl705038,tn,2.7,46675.0,silver,gray,wholesale inc # 2,9675,10500,2015-07-02 07:00:00
2009,GMC,Acadia,SLT-1,SUV,automatic,1gkev23d29j151614,va,2.5,168034.0,black,black,"a&r motors, llc",6800,8400,2015-07-06 06:30:00
2003,Mercedes-Benz,SL-Class,SL500,Convertible,automatic,wdbsk75f43f011852,ca,3.4,95863.0,silver,black,titlemax/garden grove ca1,10950,9400,2015-07-07 09:00:00
2013,Ford,Focus,SE,Hatchback,,1fadp3k20dl148608,pa,3.5,14898.0,burgundy,beige,r hollenshead auto sales inc,11700,11700,2015-07-08 06:30:00
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h76dr210931,ny,2.5,22272.0,silver,black,"ford motor credit company,llc",16050,14300,2015-07-08 06:20:00
2012,Volkswagen,Golf,2.0L TDI,Hatchback,automatic,wvwbm7aj7cw259924,fl,2.7,77505.0,white,black,select motor group llc,13200,12600,2015-07-07 06:30:00
2012,GMC,Acadia,Denali,SUV,automatic,1gkkvted5cj153550,tn,3.2,57811.0,black,gray,wholesale inc # 2,27700,29200,2015-07-07 06:00:00
2011,Mercedes-Benz,E-Class,E350,Convertible,automatic,wddkk5gf4bf084887,ca,2.7,36891.0,,,mercedes-benz finc wholesale advantage,29700,27000,2015-07-07 09:30:00
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0egxckb70748,tn,4.8,30861.0,—,tan,"ford motor credit company,llc",17350,17100,2015-07-07 08:00:00
2013,Chevrolet,Suburban,LT 1500,SUV,automatic,1gnscje00dr151959,ga,3.4,60221.0,white,black,the hertz corporation,26600,24801,2015-07-07 06:00:00
2014,Chevrolet,Suburban,LTZ 1500,SUV,automatic,1gnscke03er145693,mo,3.5,44295.0,black,black,avis corporation,37000,38800,2015-07-08 07:30:00
2011,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp2bt007720,ca,3.1,43160.0,black,gray,nissan-infiniti lt,6175,9000,2015-07-08 09:30:00
2007,Ford,Edge,SEL,SUV,,2fmdk38cx7bb26818,sc,4.1,111436.0,white,beige,andrew thomas motorcars,7675,9400,2015-07-09 07:00:00
2005,BMW,5 Series,545i,Sedan,automatic,wbanb335x5b115223,il,1.9,98514.0,silver,black,first financial credit union,6125,3600,2015-07-07 07:00:00
2003,Jeep,Grand Cherokee,Limited,SUV,,1j8gw58j73c555823,ga,1.9,199924.0,silver,gray,toyota of greenville,975,1900,2015-07-07 10:00:00
2012,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c58cdu58023,nv,3.1,27912.0,gray,black,financial services remarketing (lease),30900,33000,2015-07-01 09:30:00
2011,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et2bfc04543,il,4.3,36999.0,white,black,"ford motor credit company,llc",28000,31300,2015-07-07 08:00:00
2011,Kia,Sorento,LX,SUV,,5xykt3a13bg089598,pa,2.8,64641.0,white,black,alans autos,10100,10200,2015-07-08 07:00:00
2014,Chrysler,200,Limited,Sedan,automatic,1c3ccbcgxen153556,mo,4.6,1745.0,gray,black,fiserv/crescent bank & trust,14400,14900,2015-07-02 08:00:00
2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk9eu403296,nc,3.7,31447.0,—,gray,toyota motor sales usa inc/program,13650,14800,2015-07-09 07:00:00
2012,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et1cfb53392,il,4.4,34266.0,black,black,"ford motor credit company,llc",32800,35200,2015-07-07 08:00:00
2012,Mercedes-Benz,SLK-Class,SLK350,Convertible,automatic,wddpk5ha0cf033901,fl,2.4,23100.0,black,gray,mercedes-benz financial services,31500,29000,2015-07-07 06:30:00
2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb5ca633577,nv,4.6,34915.0,black,off-white,mercedes-benz financial services,24800,29000,2015-07-01 08:45:00
2002,Cadillac,Escalade,Base,SUV,automatic,1gyec63t52r264815,ca,2.4,133617.0,gold,tan,m & n financial,5225,4500,2015-07-08 09:30:00
2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k29dl267645,mo,3.5,35514.0,silver,black,ars/avis budget group,10300,11300,2015-07-08 07:30:00
2012,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,nm0ls7bn6ct098332,ca,2.2,40571.0,white,gray,"ford motor credit company,llc",11850,16700,2015-07-02 09:00:00
2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba9cc074620,fl,3.8,34088.0,black,gray,metro ford inc,25900,26800,2015-07-03 17:15:00
2011,Ford,Fusion,SE,Sedan,automatic,3fahp0ha8br123145,va,2.6,112958.0,white,beige,dt credit corporation,5875,5800,2015-07-07 06:15:00
2014,Dodge,Dart,SXT,Sedan,automatic,1c3cdfbb6ed877938,mi,5.0,1560.0,white,black,chrysler capital,24100,12500,2015-07-07 07:00:00
2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf6ekd16413,pa,3.8,12899.0,white,gray,u-haul,19100,18200,2015-07-01 06:00:00
2014,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej1em103170,il,3.8,43065.0,black,tan,ars/avis budget group,9050,9800,2015-07-09 07:00:00
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d80dgb40573,ga,3.5,62680.0,silver,black,the hertz corporation,19850,21600,2015-07-07 06:30:00
2010,Ford,F-150,XL,SuperCab,,1ftex1ew7afd85351,mi,1.9,87035.0,white,gray,ketty construction & leasing,14050,12000,2015-07-08 07:00:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er315350,fl,4.1,29744.0,gray,gray,bartow ford co,18900,16800,2015-07-07 07:30:00
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k92er261130,tn,4.9,35471.0,white,black,avis budget group,17050,20100,2015-07-07 06:30:00
2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbgxdr723459,fl,2.9,44435.0,gold,black,ez rent a car inc,12550,12300,2015-07-07 06:15:00
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d87dgc53291,wi,4.3,70842.0,white,gray,ari,18250,20400,2015-07-08 07:00:00
2013,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcr3f87da019065,wi,1.9,19433.0,white,tan,napletons river oaks honda,21000,20500,2015-07-08 07:00:00
2003,Mazda,Mazda6,s,Sedan,automatic,1yvhp80d035m41046,md,2.1,111946.0,black,black,infiniti of tysons corner,2100,1100,2015-07-09 17:15:00
2014,Ford,F-150,XL,Regular Cab,,1ftnf1cfxekd16706,ca,4.9,9076.0,white,gray,u-haul,12150,19100,2015-07-02 09:00:00
2007,Toyota,FJ Cruiser,Base,SUV,manual,jtebu11f470032445,tn,3.2,113010.0,purple,black,sullivan auto group llc,14350,12700,2015-07-09 07:30:00
2011,Toyota,Camry,XLE,Sedan,automatic,4t1bk3ek0bu632633,wi,3.6,54475.0,silver,gray,toyota financial services,13950,14400,2015-07-01 07:00:00
2004,Chevrolet,Corvette,Z06,Coupe,manual,1g1yy12s045121256,nj,4.1,69537.0,yellow,black,mena si auto sales inc,18450,17000,2015-07-08 09:30:00
2011,Chevrolet,Avalanche,LTZ,Crew Cab,,3gntkge33bg281901,pa,4.1,83543.0,gray,black,bard whls,26400,22800,2015-07-08 07:30:00
2014,Audi,A6,2.0T Premium quattro,Sedan,automatic,wauffafc6en124913,fl,5.0,7690.0,silver,—,the collection,34500,36000,2015-07-09 06:00:00
2010,Ford,Mustang,GT,Coupe,automatic,1zvbp8chxa5138666,ga,2.4,1.0,blue,tan,lendmark financial services/chesapeake,11950,800,2015-07-07 06:30:00
2010,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1j4ba5h19al147752,wi,4.4,35710.0,white,red,new look enterprises inc,24600,23600,2015-07-02 07:00:00
2007,Chevrolet,Silverado 1500,LT2,Crew Cab,,2gcek13m371698221,tx,2.2,73396.0,red,gray,tdaf remarketing,17250,16100,2015-07-08 07:30:00
2002,BMW,5 Series,525i,Sedan,automatic,wbadt43412gz98584,ca,2.8,125962.0,silver,black,huntington beach ford,2525,3100,2015-07-08 08:30:00
2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap8el815367,ca,2.4,78882.0,white,black,nissan motor acceptance corporation,6175,7900,2015-07-02 08:00:00
2009,Audi,Q7,3.6 quattro,SUV,automatic,wa1ay74l79d031742,ca,3.4,109498.0,white,beige,fratelli investment group,13000,16000,2015-07-01 09:15:00
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg8dr749654,ga,3.6,70859.0,gold,black,dollar thrifty automotive group,10400,11800,2015-07-07 06:30:00
2012,Honda,Civic,LX,Sedan,automatic,2hgfb2f53ch333393,ca,2.5,24936.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",13100,13200,2015-07-02 09:00:00
2011,Honda,Ridgeline,RTL,Crew Cab,automatic,5fpyk1f50bb001280,nj,2.9,48008.0,white,gray,ford-lincoln dealer program,24800,22800,2015-07-02 17:15:00
2011,Kia,Soul,!,Wagon,manual,kndjt2a25b7734327,oh,2.9,76996.0,black,black,hyundai motor finance,7925,7800,2015-07-07 08:00:00
2010,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb4ar102750,fl,4.3,64577.0,black,black,foreign affairs auto inc,14100,15000,2015-07-08 06:05:00
2009,BMW,3 Series,328i,Convertible,automatic,wbawl13579px26194,ca,2.7,1.0,red,tan,a l financial corporation,21600,3600,2015-07-01 09:30:00
2008,Buick,Enclave,CXL,SUV,automatic,5gaer23758j142593,nc,3.1,141340.0,silver,gray,hendrick toyota scion wilmington,8350,10100,2015-07-06 07:00:00
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f24el145528,tn,3.5,35742.0,black,gray,avis corporation,10850,11700,2015-07-01 07:30:00
2014,Toyota,Corolla,L,Sedan,automatic,5yfburhexep093429,nc,3.9,29767.0,—,gray,toyota motor sales usa inc/program,12400,13600,2015-07-02 07:00:00
2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d81dgb30215,mi,4.7,34235.0,white,black,automobiles paille inc,11600,27600,2015-07-01 07:00:00
2012,BMW,3 Series,328i,Convertible,automatic,wbadw3c50ce824111,fl,3.9,41575.0,white,black,braman motorcars,25500,24500,2015-07-03 06:30:00
2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg4dr723621,fl,2.7,43199.0,red,black,ez rent a car inc,12600,12300,2015-07-07 06:15:00
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5dr611585,fl,3.9,40479.0,black,black,ez rent a car inc,12400,13200,2015-07-07 06:15:00
